sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.614685059E+1,5.971908569E+1
6.736755371E+1,6.099700928E+1
6.689071655E+1,6.053924561E+1
6.406784058E+1,5.821228027E+1
6.895065308E+1,6.229400635E+1
6.875991821E+1,6.263732910E+1
6.856918335E+1,6.280899048E+1
6.717681885E+1,5.998611450E+1
6.717681885E+1,6.290435791E+1
7.026672363E+1,6.294250488E+1
6.818771362E+1,6.355285645E+1
6.486892700E+1,5.970001221E+1
7.076263428E+1,6.296157837E+1
6.618499756E+1,5.937576294E+1
6.914138794E+1,6.208419800E+1
6.740570068E+1,5.895614624E+1
6.847381592E+1,6.216049194E+1
6.738662720E+1,5.977630615E+1
6.748199463E+1,6.467819214E+1
6.565093994E+1,5.990982056E+1
6.509780884E+1,6.311416626E+1
6.729125977E+1,6.315231323E+1
6.790161133E+1,6.139755249E+1
6.980895996E+1,6.277084351E+1
6.788253784E+1,5.975723267E+1
6.719589233E+1,6.076812744E+1
6.908416748E+1,6.040573120E+1
6.801605225E+1,6.361007690E+1
6.652832031E+1,5.800247192E+1
6.259918213E+1,5.769729614E+1
6.622314453E+1,6.109237671E+1
6.729125977E+1,6.353378296E+1
6.866455078E+1,6.343841553E+1
6.542205811E+1,5.992889404E+1
6.532669067E+1,6.086349487E+1
6.414413452E+1,5.886077881E+1
6.660461426E+1,6.103515625E+1
6.797790527E+1,5.867004395E+1
6.637573242E+1,6.107330322E+1
6.706237793E+1,6.206512451E+1
6.734848022E+1,6.063461304E+1
6.237030029E+1,5.695343018E+1
6.343841553E+1,5.836486816E+1
6.702423096E+1,6.393432617E+1
6.334304810E+1,5.863189697E+1
6.359100342E+1,6.151199341E+1
6.484985352E+1,6.000518799E+1
6.534576416E+1,5.664825439E+1
6.921768188E+1,5.998611450E+1
6.168365479E+1,5.903244019E+1
6.719589233E+1,6.057739258E+1
6.710052490E+1,6.130218506E+1
6.475448608E+1,5.918502808E+1
6.908416748E+1,6.534576416E+1
6.593704224E+1,6.095886230E+1
6.669998169E+1,5.990982056E+1
6.784439087E+1,6.200790405E+1
6.694793701E+1,6.126403809E+1
6.971359253E+1,6.565093994E+1
6.515502930E+1,6.137847900E+1
6.599426270E+1,6.059646606E+1
6.797790527E+1,6.084442139E+1
6.656646729E+1,6.057739258E+1
6.847381592E+1,6.446838379E+1
6.223678589E+1,5.790710449E+1
6.462097168E+1,5.914688110E+1
6.584167480E+1,6.122589111E+1
6.826400757E+1,6.057739258E+1
6.576538086E+1,6.055831909E+1
6.484985352E+1,6.055831909E+1
6.874084473E+1,6.429672241E+1
6.834030151E+1,5.941390991E+1
6.649017334E+1,6.229400635E+1
6.460189819E+1,5.876541138E+1
7.024765015E+1,6.269454956E+1
6.942749023E+1,6.435394287E+1
6.860733032E+1,6.471633911E+1
6.862640381E+1,6.431579590E+1
6.608963013E+1,6.063461304E+1
6.666183472E+1,6.063461304E+1
6.790161133E+1,6.259918213E+1
6.752014160E+1,6.284713745E+1
6.992340088E+1,6.502151489E+1
6.879806519E+1,6.412506104E+1
6.711959839E+1,6.044387817E+1
6.734848022E+1,6.187438965E+1
6.698608398E+1,6.452560425E+1
6.906509399E+1,6.214141846E+1
6.460189819E+1,6.061553955E+1
6.345748901E+1,5.556106567E+1
6.641387939E+1,6.551742554E+1
6.658554077E+1,5.889892578E+1
7.120132446E+1,6.540298462E+1
6.643295288E+1,5.838394165E+1
