ome	zstar	zpr	zppr	zC
3.8146970837260703	251.23559804970134	251.20050427007163	4.199092979777311	(251.20050427007163+4.199092979777311j)
3.467906454783942	250.9792684609197	250.94432334129792	4.188052047974153	(250.94432334129792+4.188052047974153j)
3.1789142617021318	250.74677124191788	250.71190039124858	4.181661207623823	(250.71190039124858+4.181661207623823j)
2.9343824043867275	250.53421594080854	250.49934696040373	4.179776248432174	(250.49934696040373+4.179776248432174j)
2.7247836683551374	250.3385121824589	250.30357929351615	4.181970179425354	(250.30357929351615+4.181970179425354j)
2.5431314295726977	250.1572899096539	250.12222824933426	4.188153594434212	(250.12222824933426+4.188153594434212j)
2.3841857199613554	249.98867404200462	249.95341711971693	4.1983829573332985	(249.95341711971693+4.1983829573332985j)
2.1192762025389102	249.68299837850674	249.64717264106784	4.22952380325178	(249.64717264106784+4.22952380325178j)
1.9073485873377671	249.41163422115162	249.37501503153658	4.27377618581554	(249.37501503153658+4.27377618581554j)
1.733953264974394	249.1677735232645	249.13013805416924	4.330551425788429	(249.13013805416924+4.330551425788429j)
1.589457162430741	248.94622683808328	248.90736470628346	4.398596582047962	(248.90736470628346+4.398596582047962j)
1.4671912291014895	248.74296078676858	248.70267850300564	4.476409989992712	(248.70267850300564+4.476409989992712j)
1.3623918573789628	248.55480776451176	248.51293084119845	4.562419048170672	(248.51293084119845+4.562419048170672j)
1.271565734997341	248.37925233054239	248.33562504411773	4.65513933482317	(248.33562504411773+4.65513933482317j)
1.1920928777442452	248.21447369069668	248.16894472331057	4.753927267845601	(248.16894472331057+4.753927267845601j)
1.0596381153048666	247.9106131604144	247.8609201617872	4.963504218272086	(247.8609201617872+4.963504218272086j)
0.9536743050375669	247.63323092817504	247.57899547386853	5.182476249540481	(247.57899547386853+5.182476249540481j)
0.8669766418828033	247.37650589158778	247.3173820666441	5.4081600228140285	(247.3173820666441+5.4081600228140285j)
0.7947285891102897	247.13607357895586	247.07176218296135	5.637658718764769	(247.07176218296135+5.637658718764769j)
0.7335956212777764	246.9089741824389	246.83919494799088	5.869699247153078	(246.83919494799088+5.869699247153078j)
0.6811959344898303	246.69305815176523	246.6175378849788	6.10368313571917	(246.6175378849788+6.10368313571917j)
0.6357828725514189	246.48657671457303	246.40505475881685	6.338887108441067	(246.40505475881685+6.338887108441067j)
0.5960464433130146	246.28858784116136	246.20077110737805	6.5763825106140965	(246.20077110737805+6.5763825106140965j)
0.5298190611612863	245.9133799682906	245.81215176871868	7.05524558476027	(245.81215176871868+7.05524558476027j)
0.4768371553609544	245.5601951007215	245.44451883118836	7.536417824857898	(245.44451883118836+7.536417824857898j)
0.43348832329030323	245.22521507262405	245.09397037551503	8.02195692963343	(245.09397037551503+8.02195692963343j)
0.3973642965288746	244.90487917999357	244.75696223057147	8.510539690869264	(244.75696223057147+8.510539690869264j)
0.3667978123206462	244.59668486947842	244.4309849585909	9.001768787968645	(244.4309849585909+9.001768787968645j)
0.3405979686950023	244.29865299338948	244.1140596161249	9.495143607105028	(244.1140596161249+9.495143607105028j)
0.3178914375388965	244.00905280508684	243.80448498219027	9.989542201953869	(243.80448498219027+9.989542201953869j)
0.2980232227667303	243.72725351728488	243.50154060518486	10.486840800753983	(243.50154060518486+10.486840800753983j)
0.2649095314578564	243.18166621756342	242.91039906986052	11.483066144176203	(242.91039906986052+11.483066144176203j)
0.23841857839101993	242.65394953917394	242.3330870147926	12.474540666531052	(242.3330870147926+12.474540666531052j)
